State,District,Date,Year,Month,Avg_rainfall,Agency_name
Assam,Hojai,2018-09-03,2018,09,0.660226432,"NRSC VIC MODEL"
Assam,Hojai,2018-09-14,2018,09,1.450714579,"NRSC VIC MODEL"
Assam,Hojai,2018-09-17,2018,09,0,"NRSC VIC MODEL"
Assam,Hojai,2018-09-18,2018,09,0.509003938,"NRSC VIC MODEL"
Assam,Hojai,2018-09-27,2018,09,2.571239721,"NRSC VIC MODEL"
Assam,Hojai,2018-09-29,2018,09,6.825420399,"NRSC VIC MODEL"
Assam,Hojai,2018-10-03,2018,10,0,"NRSC VIC MODEL"
Assam,Hojai,2018-10-06,2018,10,0,"NRSC VIC MODEL"
Assam,Hojai,2018-10-10,2018,10,1.256560599,"NRSC VIC MODEL"
Assam,Hojai,2018-10-17,2018,10,1.534824469,"NRSC VIC MODEL"
Assam,Hojai,2018-10-25,2018,10,0,"NRSC VIC MODEL"
Assam,Hojai,2018-10-28,2018,10,0,"NRSC VIC MODEL"
Assam,Hojai,2018-10-31,2018,10,0,"NRSC VIC MODEL"
Assam,Hojai,2018-11-02,2018,11,0.238628943,"NRSC VIC MODEL"
Assam,Hojai,2018-10-22,2018,10,0,"NRSC VIC MODEL"
Assam,Hojai,2018-11-03,2018,11,1.194383306,"NRSC VIC MODEL"
Assam,Hojai,2018-11-19,2018,11,0,"NRSC VIC MODEL"
Assam,Hojai,2018-11-17,2018,11,0.21848754,"NRSC VIC MODEL"
Assam,Hojai,2018-11-22,2018,11,0,"NRSC VIC MODEL"
Assam,Hojai,2018-11-24,2018,11,0,"NRSC VIC MODEL"
Assam,Hojai,2018-11-25,2018,11,0,"NRSC VIC MODEL"
Assam,Hojai,2018-11-26,2018,11,0,"NRSC VIC MODEL"
Assam,Hojai,2018-11-29,2018,11,0,"NRSC VIC MODEL"
Assam,Hojai,2018-11-27,2018,11,0,"NRSC VIC MODEL"
Assam,Hojai,2018-12-16,2018,12,0,"NRSC VIC MODEL"
Assam,Hojai,2018-12-22,2018,12,0,"NRSC VIC MODEL"
Assam,Hojai,2018-12-19,2018,12,0,"NRSC VIC MODEL"
Assam,Hojai,2018-12-21,2018,12,0,"NRSC VIC MODEL"
Assam,Hojai,2018-12-30,2018,12,0,"NRSC VIC MODEL"
Assam,Jorhat,2018-07-28,2018,07,35.2185552,"NRSC VIC MODEL"
Assam,Jorhat,2018-07-31,2018,07,14.06503498,"NRSC VIC MODEL"
Assam,Jorhat,2018-08-08,2018,08,7.117629265,"NRSC VIC MODEL"
Assam,Jorhat,2018-08-11,2018,08,37.36420252,"NRSC VIC MODEL"
Assam,Jorhat,2018-08-14,2018,08,17.84681172,"NRSC VIC MODEL"
Assam,Jorhat,2018-08-15,2018,08,10.79655953,"NRSC VIC MODEL"
Assam,Jorhat,2018-08-20,2018,08,39.46999111,"NRSC VIC MODEL"
Assam,Jorhat,2018-08-24,2018,08,50.76619622,"NRSC VIC MODEL"
Assam,Jorhat,2018-08-26,2018,08,19.40433209,"NRSC VIC MODEL"
Assam,Jorhat,2018-08-28,2018,08,23.82037556,"NRSC VIC MODEL"
Assam,Jorhat,2018-09-09,2018,09,49.98864791,"NRSC VIC MODEL"
